user_id,user_title,user_dob,user_state,user_reg_date
347,Company,1960-05-17,Bavaria,2016-01-13
348,Mrs,1948-01-06,Brandenburg,2015-02-17
349,Mrs,1956-03-29,Bavaria,2015-02-17
354,Mrs,1942-01-07,Lower Saxony,2015-02-17
356,Mrs,1954-05-14,Hesse,2016-03-23
359,Mrs,1966-07-30,Mecklenburg-Western Pomerania,2015-05-23
363,Mrs,1954-02-07,North Rhine-Westphalia,2015-03-02
364,Mrs,1967-08-22,Saxony-Anhalt,2015-02-17
368,Mrs,1955-04-20,Berlin,2016-03-04
370,Mrs,1965-06-06,North Rhine-Westphalia,2016-02-26
378,Mrs,1963-02-11,Schleswig-Holstein,2015-02-17
380,Mrs,1966-01-05,North Rhine-Westphalia,2015-02-17
381,Mrs,NA,Baden-Wuerttemberg,2016-03-03
387,Mrs,1958-07-29,Bavaria,2016-02-16
393,Mrs,1963-12-23,Lower Saxony,2015-02-17
396,Mrs,1981-09-12,Hesse,2015-06-03
415,Mrs,1958-12-29,Schleswig-Holstein,2016-02-24
421,Mrs,1968-05-30,Lower Saxony,2015-02-17
422,Mrs,1966-04-10,Bavaria,2016-08-30
434,Mrs,NA,Lower Saxony,2016-03-16
437,Mrs,1965-07-21,Bavaria,2015-02-17
443,Mrs,1959-04-17,Bavaria,2016-03-18
445,Mrs,1964-07-26,Bavaria,2015-10-13
446,Mrs,1971-09-04,Lower Saxony,2016-09-05
451,Mrs,1978-07-13,Bavaria,2015-02-17
453,Mrs,1971-12-02,Baden-Wuerttemberg,2016-03-19
463,Mrs,1959-05-25,Thuringia,2015-02-17
468,Mrs,1973-10-19,Thuringia,2015-07-17
470,Mrs,1956-04-16,North Rhine-Westphalia,2015-02-17
478,Mrs,1969-05-19,Baden-Wuerttemberg,2015-02-17
484,Mrs,1967-10-25,Lower Saxony,2015-02-17
487,Mrs,1950-03-05,Lower Saxony,2015-02-17
488,Mrs,1958-10-19,Hesse,2015-07-06
490,Mrs,1900-11-21,Baden-Wuerttemberg,2015-04-20
491,Mrs,1948-04-08,Baden-Wuerttemberg,2015-07-22
494,Mrs,1949-11-21,Baden-Wuerttemberg,2015-09-21
502,Mrs,1961-10-20,Bavaria,2015-02-17
505,Mrs,1949-05-05,Berlin,2015-02-17
514,Mrs,1973-12-16,Baden-Wuerttemberg,2016-01-14
516,Mrs,1960-11-12,North Rhine-Westphalia,2015-02-17
527,Mrs,1960-12-28,Baden-Wuerttemberg,2015-02-17
531,Mrs,1958-08-03,Lower Saxony,2016-02-08
541,Mrs,1956-10-03,North Rhine-Westphalia,2015-02-17
547,Mrs,1957-08-26,Mecklenburg-Western Pomerania,2015-02-17
556,Mrs,1953-09-22,Baden-Wuerttemberg,2015-02-17
559,Mrs,1959-09-11,Baden-Wuerttemberg,2015-05-06
564,Mrs,1960-08-17,Bavaria,2016-03-19
568,Mrs,1970-10-14,Hesse,2016-04-20
573,Mrs,1975-05-03,Hesse,2015-02-17
574,Mrs,1953-10-22,Lower Saxony,2015-02-17
581,Mrs,1964-10-05,Mecklenburg-Western Pomerania,2015-02-17
588,Mrs,1956-04-12,Bavaria,2016-05-23
590,Mrs,1969-03-31,Lower Saxony,2015-12-31
591,Mrs,1958-06-18,North Rhine-Westphalia,2015-02-17
598,Mrs,1970-05-08,Berlin,2015-02-17
600,Mrs,1952-04-09,Hesse,2015-02-17
604,Mrs,1965-09-17,Schleswig-Holstein,2016-03-31
606,Mrs,1963-07-15,Hesse,2015-02-17
612,Mrs,1954-09-22,Bavaria,2015-02-17
613,Mrs,1961-01-15,Lower Saxony,2015-02-17
615,Mrs,1969-05-27,Bavaria,2016-02-27
622,Mrs,NA,North Rhine-Westphalia,2016-06-30
633,Mrs,NA,Schleswig-Holstein,2015-12-27
634,Mrs,1975-02-17,Saxony,2016-03-31
641,Mrs,1968-02-12,Schleswig-Holstein,2016-03-26
644,Mrs,1968-03-12,North Rhine-Westphalia,2016-02-20
651,Mrs,1974-01-02,Thuringia,2016-06-30
653,Mrs,1965-10-21,Thuringia,2016-03-31
656,Mrs,1963-10-15,Baden-Wuerttemberg,2016-02-25
660,Mrs,1969-01-18,Lower Saxony,2015-11-01
662,Mrs,1974-03-01,Schleswig-Holstein,2015-11-10
677,Mrs,1954-05-21,Rhineland-Palatinate,2015-12-20
682,Mrs,1953-11-13,Baden-Wuerttemberg,2015-02-17
686,Mrs,1955-06-09,Lower Saxony,2015-02-17
689,Mrs,1943-04-01,Bavaria,2016-04-13
697,Mrs,1964-02-25,Baden-Wuerttemberg,2016-03-12
701,Mrs,1901-10-01,Rhineland-Palatinate,2015-02-17
702,Mrs,1972-07-02,Schleswig-Holstein,2015-09-30
706,Mrs,1949-11-21,Hesse,2015-11-18
707,Mrs,1959-10-25,Lower Saxony,2016-02-24
708,Mrs,1966-02-21,Lower Saxony,2015-02-17
710,Mrs,1950-07-20,Lower Saxony,2015-02-17
713,Mrs,1959-03-21,Rhineland-Palatinate,2015-02-17
717,Mrs,1959-08-29,Baden-Wuerttemberg,2015-02-17
718,Mrs,1962-08-10,Baden-Wuerttemberg,2015-02-17
721,Mrs,1969-09-04,North Rhine-Westphalia,2015-02-17
726,Mrs,1963-07-19,North Rhine-Westphalia,2015-02-17
728,Mrs,1966-01-17,Hesse,2016-01-13
735,Mrs,1961-03-04,Bavaria,2015-02-17
738,Mrs,1947-05-09,Hesse,2016-01-12
739,Mrs,1967-12-02,Schleswig-Holstein,2016-04-01
740,Mrs,1973-08-19,Hamburg,2015-02-17
742,Mrs,1971-07-24,Mecklenburg-Western Pomerania,2015-02-17
744,Mrs,1964-03-13,Brandenburg,2015-02-17
747,Mrs,NA,Bavaria,2016-02-27
752,Mrs,1976-11-28,Hesse,2015-09-28
753,Mrs,1958-04-15,Lower Saxony,2015-02-17
756,Mrs,1950-04-01,Hesse,2015-02-17
761,Mrs,1961-06-13,Lower Saxony,2016-07-04
781,Mrs,1973-05-13,Hesse,2015-02-17
783,Mrs,1963-05-21,Hesse,2015-04-16
785,Mrs,1968-03-24,Bavaria,2016-02-02
804,Mrs,1976-05-31,Hesse,2015-02-17
810,Mrs,1955-10-14,Berlin,2015-04-20
811,Mrs,1962-04-05,Hesse,2016-01-15
814,Mrs,1961-04-09,Baden-Wuerttemberg,2015-02-24
815,Mrs,1958-10-08,Hesse,2015-02-17
817,Mrs,1945-08-27,Lower Saxony,2015-02-17
822,Mrs,1967-04-10,Rhineland-Palatinate,2016-03-29
824,Mrs,1984-06-07,Lower Saxony,2015-02-17
828,Mrs,1977-08-23,North Rhine-Westphalia,2016-07-04
831,Mrs,1959-01-19,Hesse,2015-02-17
832,Mrs,1965-11-20,Baden-Wuerttemberg,2015-02-17
833,Mrs,1946-01-10,North Rhine-Westphalia,2015-02-17
834,Mrs,1958-08-12,Bavaria,2016-01-12
841,Mrs,1959-08-26,North Rhine-Westphalia,2015-02-17
844,Mrs,1966-08-25,Lower Saxony,2015-09-26
846,Mrs,1962-10-31,Bavaria,2015-02-17
852,Mrs,1958-12-28,Rhineland-Palatinate,2015-09-12
865,Mrs,1969-08-30,Bremen,2015-02-17
872,Mrs,1975-01-22,Bavaria,2015-02-17
874,Mrs,1963-05-17,North Rhine-Westphalia,2015-02-17
878,Mrs,1978-02-09,Bavaria,2016-02-19
880,Mrs,1954-08-19,Lower Saxony,2016-02-26
882,Mrs,1944-03-04,Lower Saxony,2015-02-17
885,Mrs,1963-01-02,Lower Saxony,2016-06-22
886,Mrs,1964-07-23,Bavaria,2015-11-22
896,Mrs,1968-12-23,Hesse,2015-03-29
905,Mrs,1966-09-15,Bremen,2015-02-17
913,Mrs,1966-05-11,North Rhine-Westphalia,2015-02-17
925,Mrs,1958-05-10,Hesse,2015-03-17
927,Mrs,1958-12-09,Lower Saxony,2016-07-04
938,Mrs,1966-12-08,Bavaria,2015-02-17
953,Mrs,1956-04-03,North Rhine-Westphalia,2015-05-22
955,Mrs,1947-11-26,Berlin,2016-08-22
958,Mrs,1961-05-24,Brandenburg,2015-12-18
959,Mrs,1953-10-22,North Rhine-Westphalia,2016-04-01
963,Mrs,1942-02-17,Lower Saxony,2015-02-17
969,Mrs,1957-11-02,Baden-Wuerttemberg,2015-03-22
970,Mrs,1966-03-05,North Rhine-Westphalia,2016-06-23
971,Mrs,1966-10-03,North Rhine-Westphalia,2015-02-17
972,Mrs,1974-09-22,Bavaria,2015-02-17
973,Mrs,1963-04-22,Bavaria,2015-02-17
977,Mrs,1958-12-05,Bremen,2015-02-17
983,Mrs,1964-07-20,Lower Saxony,2016-08-18
984,Mrs,1973-12-27,Schleswig-Holstein,2015-02-17
985,Mr,1956-01-23,Bavaria,2015-02-17
998,Mrs,1954-09-10,North Rhine-Westphalia,2016-02-17
999,Mrs,1949-11-21,Thuringia,2015-06-18
1000,Mrs,NA,Hamburg,2016-03-20
1008,Mrs,1969-12-15,Saxony,2015-09-04
1010,Mrs,1977-09-07,Saxony,2015-08-15
1012,Mrs,1977-09-23,North Rhine-Westphalia,2015-03-08
1014,Mrs,1952-07-09,Lower Saxony,2015-06-27
1016,Mrs,1961-06-13,Lower Saxony,2016-01-19
1018,Mrs,1967-07-20,Rhineland-Palatinate,2015-02-17
1019,Mrs,NA,Saxony,2016-02-25
1023,Mrs,1972-05-06,North Rhine-Westphalia,2015-02-17
1024,Mrs,1960-11-08,Schleswig-Holstein,2015-02-17
1025,Mrs,1971-03-07,Baden-Wuerttemberg,2015-02-17
1027,Mrs,1963-08-23,Baden-Wuerttemberg,2015-11-17
1028,Mrs,1964-11-25,Hesse,2015-08-03
1034,Mrs,1957-10-24,North Rhine-Westphalia,2016-04-01
1037,Mrs,1962-05-13,North Rhine-Westphalia,2016-08-16
1038,Mrs,1957-11-22,Bavaria,2016-04-01
1040,Mrs,1962-05-17,Hamburg,2016-04-01
1041,Mrs,1950-08-01,Lower Saxony,2015-02-17
1046,Mrs,1956-12-30,Baden-Wuerttemberg,2015-02-17
1059,Mrs,1964-08-20,Baden-Wuerttemberg,2015-02-17
1063,Mrs,1962-06-29,North Rhine-Westphalia,2015-11-24
1068,Mrs,1963-02-03,Mecklenburg-Western Pomerania,2015-02-17
1069,Mrs,1971-05-15,Bavaria,2015-02-17
1075,Mrs,1965-07-20,Bavaria,2015-02-17
1076,Mrs,1963-04-26,North Rhine-Westphalia,2015-09-10
1079,Mrs,1967-07-25,Lower Saxony,2015-05-30
1080,Mrs,1982-09-14,Hesse,2015-02-17
1084,Mrs,1965-04-29,North Rhine-Westphalia,2015-02-17
1090,Mrs,1962-06-27,Bavaria,2015-02-26
1092,Mrs,1964-06-29,North Rhine-Westphalia,2015-02-17
1100,Mrs,1957-01-24,Hamburg,2016-09-09
1103,Mr,1964-10-18,Lower Saxony,2016-04-01
1109,Mrs,1954-05-22,Baden-Wuerttemberg,2015-02-17
1115,Mrs,1970-01-03,Brandenburg,2016-04-02
1116,Mrs,1958-04-25,North Rhine-Westphalia,2016-04-02
1119,Mrs,1950-09-27,Rhineland-Palatinate,2015-02-17
1122,Mrs,1967-07-17,North Rhine-Westphalia,2015-02-17
1123,Mrs,1950-08-10,Berlin,2015-02-17
1133,Mrs,1973-07-24,Bavaria,2015-02-17
1134,Mrs,NA,Baden-Wuerttemberg,2016-02-08
1136,Mrs,1970-02-27,Lower Saxony,2016-06-28
1137,Mrs,1978-12-28,Lower Saxony,2016-08-30
1139,Mrs,1964-05-30,Lower Saxony,2015-02-17
1145,Mrs,1972-05-04,Rhineland-Palatinate,2016-03-11
1147,Mrs,NA,Baden-Wuerttemberg,2015-02-17
1148,Mr,1960-04-24,Bavaria,2016-05-14
1150,Mrs,1953-10-05,North Rhine-Westphalia,2015-02-17
1152,Mrs,1966-12-27,Lower Saxony,2016-02-28
1159,Mrs,1951-03-03,North Rhine-Westphalia,2015-09-17
1162,Mrs,1973-11-08,Schleswig-Holstein,2015-02-17
1163,Mrs,1952-04-06,Hesse,2015-02-17
1165,Family,1969-09-14,Brandenburg,2015-02-17
1171,Mrs,1960-12-07,North Rhine-Westphalia,2015-02-17
1173,Mrs,1961-09-05,Bavaria,2015-03-15
1181,Mrs,1962-04-25,Bavaria,2015-02-17
1182,Mrs,1962-02-11,Bavaria,2016-05-20
1183,Mrs,1959-01-04,Saarland,2015-02-17
1186,Mrs,1952-01-28,North Rhine-Westphalia,2015-02-17
1189,Mrs,1972-07-01,Saxony,2015-07-02
1193,Mrs,1967-08-11,Baden-Wuerttemberg,2015-09-22
1200,Mrs,1968-03-31,Hesse,2015-10-13
1202,Mrs,1965-05-23,Bavaria,2016-02-16
1205,Mrs,1974-01-05,Bavaria,2016-04-02
1206,Mrs,1976-04-17,Lower Saxony,2015-02-17
1207,Mrs,1974-04-14,North Rhine-Westphalia,2015-02-17
1219,Mrs,1974-10-08,Baden-Wuerttemberg,2015-11-19
1221,Mrs,1957-08-26,Saarland,2015-10-16
1222,Mrs,1957-12-23,North Rhine-Westphalia,2015-09-28
1237,Mrs,1963-12-18,North Rhine-Westphalia,2016-04-02
1238,Mrs,1966-10-02,Hamburg,2015-09-07
1243,Mrs,1965-11-30,Thuringia,2015-02-17
1246,Mrs,1980-08-23,Baden-Wuerttemberg,2015-02-17
1248,Mrs,1955-01-17,Schleswig-Holstein,2016-01-21
1250,Mrs,1948-10-24,Bavaria,2015-11-22
1252,Mrs,1966-12-21,Rhineland-Palatinate,2015-02-17
1266,Mrs,1966-09-18,Hesse,2016-06-30
1273,Mrs,1962-05-26,Lower Saxony,2015-02-17
1283,Mrs,1967-01-12,Schleswig-Holstein,2015-09-15
1286,Mrs,1961-11-29,North Rhine-Westphalia,2015-08-15
1295,Mrs,1954-08-10,North Rhine-Westphalia,2016-01-29
1298,Mrs,1962-01-17,Baden-Wuerttemberg,2015-02-17
1301,Mrs,1964-11-15,North Rhine-Westphalia,2016-04-02
1304,Mrs,1961-12-10,Hesse,2016-02-03
1305,Mrs,1966-07-02,Hamburg,2016-03-28
1307,Mrs,1970-08-23,Lower Saxony,2016-01-13
1311,Mrs,1951-04-01,North Rhine-Westphalia,2015-02-17
1312,Mrs,1952-10-13,North Rhine-Westphalia,2015-02-17
1317,Mrs,1900-11-21,Bavaria,2015-11-04
1319,Mrs,1966-07-02,North Rhine-Westphalia,2015-02-17
1339,Mrs,1962-01-01,North Rhine-Westphalia,2015-02-17
1342,Mrs,1962-10-07,Hesse,2016-01-12
1346,Mrs,1974-09-23,Bavaria,2016-03-18
1350,Mrs,1966-06-04,Bavaria,2015-02-17
1352,Mrs,1960-03-12,North Rhine-Westphalia,2016-04-02
1355,Mrs,1964-09-04,Bavaria,2015-02-17
1364,Mrs,1966-03-13,Lower Saxony,2015-09-04
1370,Mrs,1965-04-04,North Rhine-Westphalia,2016-03-04
1375,Mrs,1981-12-10,Rhineland-Palatinate,2016-02-21
1383,Mrs,1965-07-08,Baden-Wuerttemberg,2015-09-25
1384,Mrs,1974-07-14,Bavaria,2015-10-13
1385,Mrs,1977-04-22,Lower Saxony,2015-03-23
1388,Mrs,1955-05-02,Baden-Wuerttemberg,2015-06-12
1392,Mrs,1956-07-19,Bremen,2015-02-17
1393,Mrs,1977-10-01,Baden-Wuerttemberg,2015-02-17
1396,Mrs,1973-05-09,North Rhine-Westphalia,2016-04-02
1401,Mrs,1972-11-28,Mecklenburg-Western Pomerania,2015-10-02
1408,Mrs,1955-01-28,Lower Saxony,2015-02-17
1414,Mrs,1954-01-14,Baden-Wuerttemberg,2015-02-17
1415,Mrs,1970-07-22,Baden-Wuerttemberg,2016-07-12
1416,Mrs,1950-09-22,Hamburg,2016-03-25
1417,Mrs,1963-12-09,North Rhine-Westphalia,2015-10-26
1419,Mrs,1945-07-11,Berlin,2015-03-17
1426,Mrs,1967-11-14,Bavaria,2015-10-31
1428,Mrs,1960-11-24,North Rhine-Westphalia,2016-07-02
1429,Mrs,1958-04-12,Berlin,2016-04-02
1430,Mrs,1948-09-21,Baden-Wuerttemberg,2015-02-17
1433,Mrs,1960-12-26,Bavaria,2015-02-17
1440,Mrs,1962-03-02,Lower Saxony,2016-04-02
1442,Mrs,1971-05-25,Saxony,2015-02-17
1446,Mrs,1976-08-29,Bavaria,2015-02-17
1452,Mrs,1968-10-25,Lower Saxony,2016-02-29
1467,Mrs,1961-12-07,North Rhine-Westphalia,2015-05-23
1469,Mrs,1973-10-14,Bavaria,2016-05-02
1472,Mrs,NA,Baden-Wuerttemberg,2016-03-18
1477,Mrs,1961-10-09,North Rhine-Westphalia,2016-03-16
1483,Mr,1986-03-28,Rhineland-Palatinate,2016-02-28
1491,Mrs,1957-02-02,Thuringia,2015-02-17
1493,Mrs,1955-10-14,Baden-Wuerttemberg,2016-08-08
1500,Mrs,1966-05-18,Rhineland-Palatinate,2015-02-17
1502,Mrs,1954-02-08,Bavaria,2016-06-17
1503,Mrs,1983-08-29,Bavaria,2015-02-17
1514,Mrs,1979-03-01,Thuringia,2015-02-17
1522,Mrs,1960-11-20,North Rhine-Westphalia,2015-02-17
1528,Mrs,1968-10-30,Lower Saxony,2015-02-17
1534,Mrs,1961-01-26,Hesse,2015-04-21
1535,Mrs,1963-03-22,Hesse,2015-03-05
1542,Mrs,1963-01-05,Baden-Wuerttemberg,2016-06-24
1545,Mrs,1958-07-11,North Rhine-Westphalia,2015-02-17
1546,Mrs,1967-09-26,North Rhine-Westphalia,2016-02-20
1547,Mrs,1969-08-15,Baden-Wuerttemberg,2015-02-17
1550,Mrs,1968-05-29,Hesse,2016-07-02
1555,Mrs,1966-01-18,Baden-Wuerttemberg,2016-08-10
1556,Mrs,1951-08-18,North Rhine-Westphalia,2015-03-06
1557,Mrs,1971-01-18,Lower Saxony,2016-03-09
1559,Mrs,1967-08-04,Rhineland-Palatinate,2015-08-10
1564,Mrs,1972-05-03,Lower Saxony,2015-02-17
1570,Mrs,1977-09-18,Brandenburg,2015-09-23
1571,Mrs,1966-07-27,Lower Saxony,2015-06-07
1575,Mrs,1967-07-17,Brandenburg,2016-04-02
1582,Mrs,1970-04-10,North Rhine-Westphalia,2016-03-15
1593,Mrs,1961-02-28,Lower Saxony,2016-04-02
1596,Mrs,1971-06-06,Mecklenburg-Western Pomerania,2015-02-17
1597,Mrs,1964-03-08,Bavaria,2015-02-17
1600,Mrs,1972-08-04,Lower Saxony,2016-07-05
1601,Mrs,1962-08-05,North Rhine-Westphalia,2015-10-24
1602,Mrs,1962-10-30,Bavaria,2016-04-02
1603,Mrs,1973-08-23,Bremen,2015-03-03
1604,Mrs,1964-03-09,North Rhine-Westphalia,2015-05-28
1605,Mrs,1962-10-17,Hesse,2015-02-17
1612,Mrs,1967-08-04,Lower Saxony,2015-02-17
1614,Mr,1961-05-26,North Rhine-Westphalia,2015-04-05
1621,Mrs,1953-03-24,Berlin,2015-02-17
1624,Mrs,1963-06-17,Lower Saxony,2015-12-11
1629,Mrs,1971-04-26,Bavaria,2016-04-02
1632,Mrs,1952-11-08,Baden-Wuerttemberg,2015-02-17
1634,Mrs,1974-02-05,Saxony,2015-02-17
1668,Mrs,1965-08-14,Lower Saxony,2015-09-26
1672,Mrs,1956-01-28,Bavaria,2016-08-11
1674,Mrs,1960-09-11,North Rhine-Westphalia,2015-02-17
1682,Mrs,1950-11-17,Baden-Wuerttemberg,2015-07-25
1683,Mrs,1982-03-26,Schleswig-Holstein,2016-09-08
1686,Mrs,1974-08-06,North Rhine-Westphalia,2015-11-07
1687,Mrs,NA,North Rhine-Westphalia,2016-04-03
1691,Mrs,1977-12-31,North Rhine-Westphalia,2015-04-23
1698,Mrs,1966-11-24,Baden-Wuerttemberg,2016-04-02
1702,Mrs,1954-12-14,Berlin,2016-04-02
1707,Mrs,1960-12-15,Hesse,2015-03-10
1712,Mrs,1959-03-20,North Rhine-Westphalia,2015-07-11
1714,Mrs,1978-05-29,Bavaria,2016-09-10
1722,Mr,1975-05-28,Lower Saxony,2015-02-17
1724,Mrs,1969-06-29,Bavaria,2015-03-21
1733,Mrs,1966-06-07,Rhineland-Palatinate,2015-02-17
1734,Mrs,1971-08-11,Rhineland-Palatinate,2015-02-17
1742,Mrs,1966-10-01,Hesse,2015-02-17
1745,Mrs,1964-08-21,North Rhine-Westphalia,2015-08-08
1746,Mrs,1952-01-04,Saxony-Anhalt,2015-10-08
1748,Mrs,1968-02-08,Saxony,2016-04-02
1749,Mrs,1968-12-08,Bavaria,2016-02-11
1750,Mrs,1954-08-02,North Rhine-Westphalia,2016-01-19
1753,Mrs,1965-11-06,Lower Saxony,2015-09-06
1756,Mrs,1960-10-08,Hesse,2016-01-18
1757,Mrs,1965-06-20,Berlin,2015-02-17
1762,Mrs,1971-12-28,Bavaria,2015-02-17
1764,Mrs,1957-10-05,Hesse,2015-09-01
1775,Mr,1958-02-13,North Rhine-Westphalia,2015-02-17
1776,Mrs,1962-09-06,North Rhine-Westphalia,2015-09-26
1779,Mrs,1972-08-25,North Rhine-Westphalia,2015-02-17
1785,Mrs,1961-06-23,Saxony-Anhalt,2016-03-29
1786,Mrs,1969-01-01,Mecklenburg-Western Pomerania,2015-02-17
1787,Mrs,1952-05-26,Rhineland-Palatinate,2016-07-25
1790,Mrs,1964-10-07,Baden-Wuerttemberg,2015-02-17
1792,Mrs,1956-12-11,Schleswig-Holstein,2016-04-03
1794,Mrs,1942-08-28,Bavaria,2015-03-04
1798,Mrs,1968-06-13,Lower Saxony,2016-03-10
1799,Mrs,1962-09-06,Rhineland-Palatinate,2015-04-06
1801,Mrs,1970-07-29,Brandenburg,2015-02-17
1802,Mrs,NA,Saxony,2016-04-03
1803,Mrs,1959-11-01,Lower Saxony,2016-02-18
1804,Mrs,1967-10-30,Brandenburg,2016-04-03
1805,Mrs,1964-02-21,Lower Saxony,2015-02-17
1807,Mrs,1965-05-16,Hesse,2015-02-17
1808,Mrs,1961-11-26,Baden-Wuerttemberg,2015-02-17
1809,Mrs,1968-02-03,Brandenburg,2015-09-07
1816,Mrs,1961-06-08,Mecklenburg-Western Pomerania,2015-04-09
1820,Mrs,1965-01-24,Baden-Wuerttemberg,2015-05-12
1821,Mrs,1961-04-06,Bavaria,2016-02-27
1824,Mrs,1972-03-13,Hesse,2016-04-03
1825,Mrs,1971-06-29,Lower Saxony,2015-02-17
1826,Mrs,1978-11-08,Bavaria,2015-06-19
1830,Mrs,1942-11-29,Saxony,2016-04-03
1831,Mrs,1951-07-16,Baden-Wuerttemberg,2015-02-17
1832,Mrs,NA,Rhineland-Palatinate,2016-04-24
1834,Mrs,1968-06-09,Baden-Wuerttemberg,2015-03-25
1837,Mrs,1948-11-22,Bavaria,2015-10-21
1842,Mrs,1972-02-11,Mecklenburg-Western Pomerania,2015-02-17
1843,Mrs,1975-04-19,Bavaria,2016-03-23
